X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
0.	7.	-4.181345113e-9	-112.6834245	-3.664800556e-10
1.	7.	5.07199905	-112.2706068	-4.220595172e-10
2.	7.	10.1076725	-111.0317334	-8.032754296e-10
3.	7.	15.06740988	-108.9660032	6.414960298e-10
4.	7.	19.90512556	-106.0736649	-1.914105043e-12
5.	7.	24.56534833	-102.3585636	-6.353610633e-12
6.	7.	28.98096261	-97.8319764	-1.41032893e-9
7.	7.	33.0722429	-92.51779672	1.384339907e-9
8.	7.	36.74808262	-86.45876569	-1.658311786e-10
9.	7.	39.91033749	-79.72278342	-4.382099925e-10
10.	7.	42.46164311	-72.40756571	3.335612537e-10
-10.	8.	-50.40050463	-74.86323123	-8.599017639e-10
-9.	8.	-47.28015527	-82.90268565	4.718966958e-10
-8.	8.	-43.4297361	-90.25154042	2.061265688e-10
-7.	8.	-38.98387206	-96.80728826	1.108868362e-9
-6.	8.	-34.07307571	-102.5088112	-1.931584444e-9
-5.	8.	-28.81279035	-107.3270601	6.476614192e-10
-4.	8.	-23.29874775	-111.2542315	-8.062089166e-10
-3.	8.	-17.60708404	-114.2943513	1.765386987e-9
-2.	8.	-11.79714495	-116.4562974	4.107437996e-10
-1.	8.	-5.915452291	-117.7491442	-6.16156493e-10
0.	8.	-3.116010065e-9	-118.1793265	-1.670355892e-9
1.	8.	5.915452285	-117.7491442	-2.585343209e-10
2.	8.	11.79714495	-116.4562974	3.225778631e-11
3.	8.	17.60708403	-114.2943512	-1.252150677e-9
4.	8.	23.29874776	-111.2542315	7.622860102e-10
5.	8.	28.81279034	-107.3270601	-3.795500193e-10
6.	8.	34.07307569	-102.5088112	3.808009661e-10
7.	8.	38.98387206	-96.80728823	2.385106295e-10
8.	8.	43.42973608	-90.25154044	-8.020759377e-10
9.	8.	47.28015529	-82.90268566	9.78648034e-10
10.	8.	50.40050458	-74.8632312	2.772207428e-10
-10.	9.	-59.19688854	-77.86882374	1.650264031e-9
-9.	9.	-55.38204833	-86.78085634	-7.441229275e-10
-8.	9.	-50.70597642	-94.84439881	-4.628117461e-10
-7.	9.	-45.35773338	-101.9562939	2.737656537e-10
-6.	9.	-39.51125855	-108.0723236	-2.819778424e-10
